,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_npb_ep_Physical,"[0.1849159146094328, 0.5729172036966625, 0.3387916831022022, 0.7148669584878952, 0.5971415088282042, 0.8129284969065796, 0.5559834380975068, 0.28589818057216776, 0.657509971510096, 0.5465274212050582]","[277.6256906286459, 67.88425420589732, 281.11551049053065, 19.230535473868006, 38.83396908909596, 17.30384997157338, 13.62807336775387, 173.18114634869983, 73.96062994432101, 22.48758000901859]","[0.5352558207171085, 0.2926826612341407, 0.7499823695611266, 0.38627591910178816, 0.48774319526202226, 0.5123314482709049, 0.3691573482052932, 0.5731435911735473, 0.4517188936893795, 0.718119306153299]","[10.70554190723335, 4.6290013885844195, 9.988803179707624, 3.9869702283507333, 5.031253860641017, 3.580437272945004, 2.6855989857108926, 8.371791244190497, 5.7764492129594815, 4.117472947312103]"
1,best_lr,runtimes_final_npb_ep_Physical,"[0.3549917443025363, 0.3292979480312087, 0.3848045582480465, 0.16657826084144212, 0.4563578470809413, 0.6909722374856523, -0.48059435270179063, 0.3660804800353191, 0.587774300768724, 0.05221472580561526]","[219.69618307954136, 106.60721758487419, 261.55294215132994, 56.209361898526275, 52.40495862599394, 28.584631818181812, 45.443459090909094, 153.73565249877603, 89.02002936789773, 47.00041012723213]","[0.6749611741346596, 0.5533746032118896, 0.644849241218341, 0.7249464641214808, 0.5310231749066648, 0.5215412026204658, 0.426436137469755, 0.7152481207290667, 0.38259210750322664, 0.8464927780739294]","[10.506113177713601, 8.533969616973675, 10.178147859296429, 6.118821022727272, 5.462316771629542, 4.279090909090908, 6.131818181818181, 9.380528214817858, 7.006193181818182, 5.9720983495452975]"
2,best_rr,runtimes_final_npb_ep_Physical,"[0.3619533352995138, 0.2904173542407972, 0.39590120350936453, 0.29998228568531904, 0.5854979538784963, 0.6740634735631327, -0.37433740023775797, 0.40916736000862375, 0.5302594260133624, 0.34680540775825586]","[217.32499642156125, 112.78723732669, 256.8351565191055, 47.21205026283486, 39.956361847130985, 30.148668613106793, 42.182144833150005, 143.28639293472054, 101.44035117064085, 32.39173952596743]","[0.5535820660460709, 0.5016353052151291, 0.6092427207104003, 0.6543849852163494, 0.4824998656158906, 0.5310619528803046, 0.4433747859732264, 0.6795031382942308, 0.43954813714797764, 0.7178376060859496]","[9.578379399843769, 8.337832955613676, 9.57306450071229, 6.169846801762348, 5.134340995399375, 4.851066690614084, 5.978191377647616, 9.402156841444707, 7.537844894069521, 4.974462724569025]"
3,best_knn,runtimes_final_npb_ep_Physical,"[0.2966632621724036, 0.5528442692914282, 0.31621803418811434, 0.9543556464817783, 0.49529327710780935, 0.909191914180616, 0.13029111797404802, 0.2780043481850024, 0.6617109220018149, 0.8763300269846516]","[239.563440243493, 71.074820985027, 290.7127927326696, 3.07844140005314, 48.65173678937324, 8.39961975630081, 26.69372602240835, 175.09552733009704, 73.05343581051692, 6.132759824830315]","[0.25194945782854394, 0.20988014990144324, 0.27273669849587917, 0.08238715215876923, 0.15171152136065058, 0.1926089580080532, 0.31249356191046435, 0.31749223762590445, 0.18393101966206785, 0.1352961600366648]","[9.196250694638431, 4.9260166856469985, 8.687882911004811, 1.3149247486704245, 3.493354827823619, 2.2280595138266617, 4.391634571922037, 7.947179937723345, 4.485100270213392, 1.792146430376116]"
4,best_gpr,runtimes_final_npb_ep_Physical,"[0.35708919164357456, 0.6679234233147364, 0.5176456960306559, 0.7843002683805121, 0.5808540030273556, 0.729581351645916, 0.6992579762861634, 0.3770904373920597, 0.6808790358750538, 0.8204564415920641]","[218.9817717972576, 52.7831393412426, 205.07497097712078, 14.547669812711876, 40.40402038668397, 25.013343257834276, 9.230588936542834, 151.06556122549182, 68.9140867522099, 8.903515501492096]","[0.3047204841095843, 0.17018703498813645, 0.330765961098441, 0.19809029986567628, 0.21576788922059284, 0.20795306453686083, 0.23958337422209552, 0.2829606219446646, 0.21011392347485439, 0.2638629834362722]","[9.221031739707273, 3.7912170635296203, 7.419121087825744, 2.9479837113749556, 4.242921022685323, 3.1573307259164896, 2.241348747615341, 6.919804752418775, 4.854261251047573, 2.403492390951845]"
5,best_dt,runtimes_final_npb_ep_Physical,"[0.6846975548614364, 0.8112126713331549, 0.9496363938823374, 0.8345190682367086, 0.7420907975675355, 0.19939542387655984, 0.8363110188694203, 0.8950059331510183, 0.5170599160251463, -0.3495993471454675]","[107.39512727272727, 30.007500000000004, 21.41229999999999, 11.160709090909085, 24.86142954545454, 74.0547931818182, 5.024059090909092, 25.46274545454544, 104.29078181818186, 66.92625909090908]","[0.213365117046503, 0.14639688534298234, 0.11113529524219136, 0.1550558604044568, 0.13405091177392958, 0.14573557053624914, 0.1107704414269579, 0.20100790282147765, 0.20789450049785604, 0.2175476718427052]","[6.6090909090909085, 3.546363636363637, 2.753636363636364, 2.4690909090909083, 3.0877272727272724, 3.7477272727272735, 1.6172727272727272, 3.5327272727272727, 5.7672727272727276, 3.2954545454545454]"
6,best_rf,runtimes_final_npb_ep_Physical,"[0.734453281937743, 0.9372331968159756, 0.9937864026869208, 0.7412206137938382, 0.49072285658428516, 0.9722954501954785, 0.9599369799557242, 0.9491411585843466, 0.9146470373389161, 0.9011558917181689]","[90.44783515909093, 9.976701613636358, 2.641737159090914, 17.453137454545463, 49.09230729545454, 2.5626317500000004, 1.2296428181818178, 12.33408488636362, 18.431949431818172, 4.901652045454544]","[0.24038274448920538, 0.06759153913440431, 0.05121615003001339, 0.16460668314524626, 0.13446028741675178, 0.0539964712973188, 0.06627691270519295, 0.08756920244374819, 0.12386205526119985, 0.06326853729415843]","[6.852772727272728, 1.6611363636363634, 0.9514090909090904, 3.0419090909090913, 3.363954545454545, 0.8155000000000001, 0.8788181818181816, 2.0388636363636334, 2.7315, 0.9361818181818183]"
7,best_etr,runtimes_final_npb_ep_Physical,"[0.7952212033536663, 0.9492094501013253, 0.9999900701022895, 0.9775593303218951, 0.7562484484910288, 0.9998556657761342, 0.9996620897944583, 0.9664765463983925, 0.9511781481737773, 0.9954372086439829]","[69.74968087838383, 8.073091752752504, 0.004221737979798195, 1.5134903061868703, 23.49668785479797, 0.013350711969697115, 0.010371381313131381, 8.12997525891412, 10.543065828914118, 0.22626756386363708]","[0.15960159923636527, 0.022778780694727142, 0.0024947968194564967, 0.02769266707612076, 0.047577776752370966, 0.005201423940387615, 0.0036389748019700656, 0.036873777195512776, 0.04290417827066633, 0.012054424568149858]","[5.359139393939393, 0.9041469696969672, 0.02952727272727557, 0.5942954545454563, 1.5170757575757592, 0.06380000000000073, 0.05601515151515247, 1.0164469696969696, 1.342128787878787, 0.1664196969696971]"
8,best_gbr,runtimes_final_npb_ep_Physical,"[0.7463714894663948, 0.9376032881046144, 0.9526211487300026, 0.8653480746013741, 0.893672564540159, 0.8300828328051527, 0.9790253358933811, 0.9609187048957943, 0.8327505910080927, 0.9589164843309117]","[86.38837595052108, 9.9178760853435, 20.14331886160916, 9.081475139712895, 10.249545268265138, 15.717098115505548, 0.643769367710585, 9.477840978421083, 36.11746508766311, 2.0373202016216334]","[0.16582988710911747, 0.09321209520935675, 0.07032446801886615, 0.14629153720673382, 0.08290721120233248, 0.11500936343061124, 0.05760470375373723, 0.13129794653469196, 0.1036008156413705, 0.08982861323708038]","[5.4064726496222475, 1.909192700185483, 1.6952766096931506, 2.2417560272398998, 1.8412802903450483, 2.12964445385774, 0.7153132399806925, 2.17740338788463, 3.1823592562902436, 0.9227141895857531]"
9,best_xgb,runtimes_final_npb_ep_Physical,"[0.9126924820056849, 0.9729770534759667, 0.7751956510170431, 0.9134920339849182, 0.8839297366362071, 0.9864978462830217, 0.9681333771781183, 0.9713279716875297, 0.7971289758421888, 0.9950777163940492]","[29.737803025107596, 4.2952621531655675, 95.57651909360884, 5.8344501233631085, 11.188715438321452, 1.248930159582024, 0.9780731419980515, 6.953426803021597, 43.80994334439021, 0.24409468530610534]","[0.1377512793460842, 0.07047006654739241, 0.11648567004783382, 0.08397458969519614, 0.07626635448260237, 0.07051953350858377, 0.05970183808305944, 0.10636996375127807, 0.11580059178216015, 0.04465898395216486]","[3.4651354130831624, 1.3870096934925422, 4.114267343174327, 1.4598778776689003, 1.7103246688842766, 0.8426205002177848, 0.7915158531882547, 1.7900881177728827, 3.3788642779263585, 0.4277951561320912]"
