arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,runtime
IntelCorei97900X_DDR42666_2GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,2,DDR4,2666,10,1000,442
IntelCorei97900X_DDR42666_3GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,3,DDR4,2666,10,1000,442
IntelCorei97900X_DDR42666_4GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,4,DDR4,2666,10,1000,442
IntelCorei97900X_DDR42666_6GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,6,DDR4,2666,10,1000,442
IntelCorei97900X_DDR42666_7GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,7,DDR4,2666,10,1000,442
IntelCorei97980X_DDR42666_2GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,2,DDR4,2666,18,1000,525
IntelCorei97980X_DDR42666_3GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,3,DDR4,2666,18,1000,525
IntelCorei97980X_DDR42666_4GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,4,DDR4,2666,18,1000,525
IntelCorei97980X_DDR42666_6GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,6,DDR4,2666,18,1000,525
IntelCorei97980X_DDR42666_7GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,7,DDR4,2666,18,1000,525
IntelCorei78650U_DDR42400_2GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,2,DDR4,2400,4,1000,672
IntelCorei78650U_DDR42400_3GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,3,DDR4,2400,4,1000,672
IntelCorei78650U_DDR42400_4GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,4,DDR4,2400,4,1000,672
IntelCorei78650U_DDR42400_6GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,6,DDR4,2400,4,1000,672
IntelCorei78650U_DDR42400_7GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,7,DDR4,2400,4,1000,672
IntelCorei78650U_LPDDR32133_2GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,2,LPDDR3,2133,4,1000,685
